layer,head,head_id,correlation,rank
31,21,L31H21,0.09167332418756648,319
13,30,L13H30,0.0912868602838995,320
31,22,L31H22,0.09097845543800395,321
0,11,L0H11,0.09072043535912856,322
19,17,L19H17,0.09070365359841856,323
27,16,L27H16,0.09065524163293412,324
27,5,L27H5,0.0902156720139309,325
27,28,L27H28,0.0898594835142811,326
20,22,L20H22,0.08971825311550918,327
34,31,L34H31,0.08946949557907805,328
0,22,L0H22,0.08918296660816805,329
8,24,L8H24,0.08896349771499198,330
1,14,L1H14,0.08842330603873882,331
13,23,L13H23,0.08785471686687871,332
26,17,L26H17,0.0871231361015761,333
8,8,L8H8,0.08609004246242787,334
30,5,L30H5,0.08603065780288395,335
26,16,L26H16,0.0860118439057452,336
5,25,L5H25,0.08587171115438726,337
0,20,L0H20,0.08566670392955437,338
34,25,L34H25,0.084860633272245,339
25,9,L25H9,0.08467746857835752,340
12,10,L12H10,0.08444986890030805,341
15,28,L15H28,0.08442590775726384,342
32,1,L32H1,0.08411122356320107,343
11,23,L11H23,0.08402043315488326,344
35,4,L35H4,0.08365504496649302,345
2,10,L2H10,0.08332843223504602,346
34,29,L34H29,0.08297536500725843,347
24,27,L24H27,0.0821870902020449,348
6,28,L6H28,0.08202972604627501,349
3,30,L3H30,0.08198241424021066,350
8,1,L8H1,0.08108489180992512,351
11,21,L11H21,0.08107108248088468,352
14,21,L14H21,0.08074400635356842,353
34,12,L34H12,0.08069279077226725,354
24,5,L24H5,0.08051783704776874,355
4,5,L4H5,0.08049343805560355,356
14,8,L14H8,0.08012740094256113,357
5,8,L5H8,0.08012291902557236,358
28,5,L28H5,0.08012254427485976,359
8,9,L8H9,0.08002592466496819,360
25,11,L25H11,0.07956092077018925,361
13,29,L13H29,0.0792173462423505,362
24,23,L24H23,0.0784275146038713,363
1,0,L1H0,0.07742140470879486,364
10,10,L10H10,0.07715609723831325,365
22,30,L22H30,0.07692029918370041,366
2,17,L2H17,0.07689808911844785,367
27,1,L27H1,0.0766914977144505,368
8,3,L8H3,0.07667529380282441,369
33,13,L33H13,0.07667361415108806,370
6,4,L6H4,0.07665846185519307,371
11,0,L11H0,0.07657202699712792,372
11,18,L11H18,0.07630136730794881,373
16,8,L16H8,0.07622271932087923,374
2,3,L2H3,0.07574640145898777,375
1,6,L1H6,0.07558980543376755,376
35,9,L35H9,0.07544620610922963,377
17,10,L17H10,0.07524790181017026,378
7,30,L7H30,0.07502153197157205,379
16,24,L16H24,0.07498386669809641,380
5,12,L5H12,0.07485779015737373,381
19,19,L19H19,0.07446481999226856,382
25,30,L25H30,0.07428824151037963,383
25,2,L25H2,0.07409720248217042,384
29,29,L29H29,0.07379146707965135,385
26,29,L26H29,0.0735388821910308,386
10,9,L10H9,0.07316351200806266,387
13,15,L13H15,0.07298338785563732,388
28,14,L28H14,0.07290026725848997,389
12,18,L12H18,0.07276635787574967,390
28,20,L28H20,0.0726642796344178,391
2,22,L2H22,0.07208335268836534,392
14,23,L14H23,0.0719341125909437,393
12,24,L12H24,0.07136870119665403,394
2,7,L2H7,0.07123215647434562,395
27,25,L27H25,0.07095683954524759,396
11,5,L11H5,0.07093888093823655,397
14,29,L14H29,0.07090921282341148,398
25,20,L25H20,0.07083860541012986,399
23,27,L23H27,0.07083201541223591,400
0,13,L0H13,0.07067627087391029,401
28,19,L28H19,0.07044238147318053,402
27,23,L27H23,0.0697730751720799,403
33,26,L33H26,0.06970090019934941,404
30,19,L30H19,0.06954871253849224,405
14,11,L14H11,0.06916062467845015,406
31,12,L31H12,0.06906691811869053,407
